SL.no,Date,Zone,Scope,Engineer,Project,BOQ,Subproduct-Description,Typology,Batch Qty,CL No,PI NO,Actual Qty,HO Qty,Actual Sqm,HO Sqm
10700,18/11/2025,Green ,Doors,Rakesh,H2V P1.1,"Windows ,Sliding Window, Top Hung Window",SHUTTER,Non Typical,80,5H-AW-AL-011,PI/4665,9,0,9.31,0
10701,18/11/2025,Green ,Doors,Rakesh,Reserve Villa,Fence,Boundry Wall,Non Typical,85,Z1B-BW-AL-003&Z1B-BW-AL-008,PI/04873,10,0,18.72,0
10702,18/11/2025,Green ,Doors,Rakesh,SRV Club House,Louver ,Outer,Non Typical,2,LD-AL-001,PI/03199,1,0,1.89,0
10703,18/11/2025,Green ,Doors,Rakesh,SRV Club House,Louver ,Shutter,Non Typical,2,LD-AL-001,PI/03199,1,0,3.77,0
10704,18/11/2025,Green ,Doors,Rakesh,System Development,HD,OUTER,Non Typical,1,SD-HD-AL-089,PI/4392,1,0,1.38,0
10705,18/11/2025,Green ,Doors,Rakesh,System Development,HD,SHUTTER,Non Typical,1,SD-HD-AL-089,PI/4392,1,0,0.69,0
10706,18/11/2025,Green ,Doors,Rakesh,Orbis,HD,Outer,Typical,4,SOT-HD-AD-01-LH,PI/04531,0,4,0,3.31
10707,18/11/2025,KIT,Doors,Rakesh,A11,HD,KIT,Typical,95,A11-HDO-AL-011,PI/3590,95,0,30.08,0
10708,18/11/2025,LINE - 5 (Rajan),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB23-ACL-001,PI/04466,10,0,20.8064,0
10709,18/11/2025,LINE - 5 (Rajan),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB15-ACL-001,PI/04466,10,0,20.8064,0
10710,18/11/2025,LINE - 5 (Rajan),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB01-ACL-001,PI/04466,12,0,24.9677,0
10711,18/11/2025,LINE - 5 (Rajan),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB25-ACL-002,PI/04466,8,0,16.6451,0
10712,18/11/2025,LINE - 5 (Rajan),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB01-ACL-002,PI/04466,2,0,4.1613,0
10713,18/11/2025,LINE - 5 (Rajan),ACP,MD Irshad,Cresent,Modular ACP,Typical,Typical,144,A07-ACP-AL-010,PI/04848,3,0,10.8937,0
10714,18/11/2025,LINE - 6 (Anbu),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB25-ACL-001,PI/04466,5,0,10.4032,0
10715,18/11/2025,LINE - 6 (Anbu),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB01-ACL-001,PI/04466,24,0,49.9353,0
10716,18/11/2025,LINE - 6 (Anbu),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB09-ACL-002,PI/04466,20,0,41.6128,0
10717,18/11/2025,LINE - 7 (Aswin),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB15-ACL-002,PI/04466,28,0,58.2579,0
10718,18/11/2025,LINE - 7 (Aswin),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB23-ACL-002,PI/04466,11,0,22.887,0
10719,18/11/2025,LINE - 7 (Aswin),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB01-ACL-002,PI/04466,1,0,2.0806,0
10720,18/11/2025,LINE - 6 (Anbu),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB05-ACL-001,PI/04466,0,9,0,18.7257
10721,18/11/2025,LINE - 5 (Rajan),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB23-ACL-001,PI/04466,0,10,0,20.8064
10722,18/11/2025,LINE - 7 (Aswin),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB23-ACL-002,PI/04466,0,20,0,41.6128
10723,18/11/2025,LINE - 7 (Aswin),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB15-ACL-002,PI/04466,0,14,0,29.1289
10724,18/11/2025,LINE - 6 (Anbu),ACP,MD Irshad,JLT,Horizontal ACP,Typical,Typical,290,JLT-HB01-ACL-001,PI/04466,0,24,0,49.9353
10725,18/11/2025,LINE - 1 (Vikas),ACP,Renjith Krishnan,S One,Modular ACP,Typical,Typical,195,ACL-1744,PI/04773,1,0,3.7685,0
10726,18/11/2025,LINE - 1 (Vikas),ACP,Renjith Krishnan,S One,Modular ACP,Non Typical,Non Typical,180,ACL-1871,PI/04958,1,0,3.9718,0
10727,18/11/2025,LINE - 1 (Vikas),ACP,Renjith Krishnan,S One,Modular ACP,Non Typical,Non Typical,180,ACL-1831,PI/04958,2,0,8.1135,0
10728,18/11/2025,LINE - 2 (Samir Ali),ACP,Renjith Krishnan,S One,Modular ACP,Non Typical,Non Typical,180,ACL-1817,PI/04958,3,0,11.9154,0
10729,18/11/2025,LINE - 2 (Samir Ali),ACP,Renjith Krishnan,S One,Modular ACP,Non Typical,Non Typical,180,ACL-1827,PI/04958,2,0,8.1135,0
10730,18/11/2025,LINE - 3 (Ubed),ACP,Renjith Krishnan,S One,Modular ACP,Non Typical,Non Typical,180,ACL-1855,PI/04958,5,0,20.2837,0
10731,18/11/2025,LINE - 3 (Ubed),ACP,Renjith Krishnan,S One,Modular ACP,Non Typical,Non Typical,180,ACL-1819,PI/04958,1,0,4.0737,0
10732,18/11/2025,LINE - 4 (Ravinder),ACP,Renjith Krishnan,S One,Modular ACP,Non Typical,Non Typical,180,ACL-1801,PI/04958,4,0,16.2269,0
10733,18/11/2025,LINE - 4 (Ravinder),ACP,Renjith Krishnan,S One,Modular ACP,Non Typical,Non Typical,180,ACL-1803,PI/04958,2,0,11.4107,0
10734,18/11/2025,LINE - 2 (Ravi Shankar),ACP,Renjith Krishnan,S One,Modular ACP,Typical,Typical,195,ACL-1320,PI/04773,0,1,0,3.3957
10735,18/11/2025,LINE - 2 (Ravi Shankar),ACP,Renjith Krishnan,S One,Modular ACP,Typical,Typical,195,ACL-1321,PI/04773,0,1,0,3.3685
10736,18/11/2025,LINE - 4 (Ravinder),ACP,Renjith Krishnan,S One,Modular ACP,Typical,Typical,195,ACL-1322,PI/04773,0,1,0,3.3685
10737,18/11/2025,LINE - 2 (Ravi Shankar),ACP,Renjith Krishnan,S One,Modular ACP,Typical,Typical,195,ACL-1323,PI/04773,0,1,0,3.3438
10738,18/11/2025,LINE - 4 (Ravinder),ACP,Renjith Krishnan,S One,Modular ACP,Typical,Typical,195,ACL-1324,PI/04773,0,1,0,3.2401
10739,18/11/2025,LINE - 4 (Ravinder),ACP,Renjith Krishnan,S One,Modular ACP,Typical,Typical,195,ACL-1325,PI/04773,0,1,0,3.2623
10740,18/11/2025,LINE - 1 (Vikas),ACP,Renjith Krishnan,S One,Modular ACP,Typical,Typical,195,ACL-1327,PI/04773,0,2,0,7.6538
10741,18/11/2025,LINE - 1 (Vikas),ACP,Renjith Krishnan,S One,Modular ACP,Typical,Typical,195,ACL-1328,PI/04773,0,2,0,7.5926
10742,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,MS9,Curtain Wall,Non-Typical,Non Typical,13,WO-SCW-ACL-106,PI/04769,1,0,33.22,0
10743,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,MS9,Curtain Wall,Non-Typical,Non Typical,13,WO-SCW-ACL-113,PI/04769,1,0,15.1,0
10744,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,A06,Curtain Wall,Non-Typical,Typical,160,A06-CW04-FS-AL-004,PI/03506,50,0,212.47,0
10745,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-494,PI/03507,6,0,26.87,0
10746,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-555,PI/04876,21,0,94.05,0
10747,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-586,PI/04876,9,0,73.05,0
10748,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Non Typical,46,3036-DF-AL-001,PI/04076,1,0,2.7,0
10749,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Non Typical,46,3036-W-AL-001,PI/04076,1,0,1.07,0
10750,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Non Typical,46,3036-W-AL-0010,PI/04076,1,0,0.22,0
10751,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Non Typical,46,3036-W-AL-002,PI/04076,0,1,0,0.75
10752,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Non Typical,46,3036-WF-AL-003,PI/04076,0,4,0,1.45
10753,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Non Typical,46,3036-D-AL-006,PI/04076,0,1,0,1.87
10754,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Non Typical,46,3036-D-AL-001,PI/04076,0,1,0,2.48
10755,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Non Typical,46,3036-W-AL-001,PI/04076,0,2,0,2.14
10756,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Non Typical,46,3036-D-AL-005,PI/04076,0,1,0,0.57
10757,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Non Typical,46,3036-WF-AL-001,PI/04076,0,1,0,1.6
10758,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Non Typical,46,3036-D-AL-006,PI/04076,0,2,0,1.15
10759,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,MS9,Curtain Wall,Non-Typical,Non Typical,13,WO-SCW-ACL-101,PI/04769,0,1,0,21.66
10760,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,JLT,Curtain Wall,Non-Typical,Non Typical,45,JLT-SCW06-AL-152,PI/04899,0,5,0,64.91
10761,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,JLT,Curtain Wall,Non-Typical,Non Typical,45,JLT-SCW11-AL-160,PI/04899,0,5,0,36.81
10762,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,JLT,Curtain Wall,Non-Typical,Non Typical,40,JLT-SCW04-AL-148,PI/04888,0,5,0,64.83
10763,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,A06,Curtain Wall,Non-Typical,Typical,160,A06-CW02-FS-AL-004,PI/03506,0,25,0,106.24
10764,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,A12,Curtain Wall,Non-Typical,Non Typical,132,A12-CW01-FS-AL-002,PI/05092,0,20,0,84.99
10765,18/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,A05,Curtain Wall,Non-Typical,Non Typical,77,A05-CW01B-FS-AL-001,PI/03444,0,5,0,27.88
10766,18/11/2025,L1.,WW/SCW,Mr.SYED,CVH,Window Wall,Alum Bracket,Typical,394,CVH-ACL-BKT-AL-012,29/05/1912,136,136,1.04,1.04
10767,18/11/2025,L1.,NON-SYSTEM,Mr.VINOTH,A05,Balustrade,F Channel,Typical,200,A05-GB-ACL-004,08/01/1912,84,84,54.95,54.95
10768,18/11/2025,L1.,NON-SYSTEM,Mr.VINOTH,A11,Balustrade,F Channel,Typical,208,A11-GB-ACL-005,01/01/1914,28,28,18.3,18.3
10769,18/11/2025,White,ACP,Mr.SYED,A07,Modular ACP,ACP Gutter & Bracket,Typical,1068,A07-ACP-AL-011,19/03/1913,746,746,1.46,1.46
10770,18/11/2025,White,ACP,Mr.SYED,CVH,Horizontal ACP,ACP Flashing,Typical,183,WO-HB43-ACL-003,26/03/1908,193,193,9.28,9.28
10771,18/11/2025,White,ACP,Mr.SYED,CVH,Modular ACP,Alum Bracket,Typical,10710,CVH-ACL-BR-AL-034,26/12/1906,183,183,5.72,5.72
10772,18/11/2025,White,ACP,Mr.SYED,JLT,Modular ACP,ACP Bracket,Typical,2252,JLT-ACP-AL-17,06/10/1912,350,350,8.98,8.98
10773,18/11/2025,White,UCW,Mr.SYED,Global Square,Curtain Wall,UCW-BRKT,Typical,1026,1047-UCW-AL-MN-025 & 1047-UCW-AL-MN-013,25/02/1912,192,192,11.66,11.66
10774,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10775,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10776,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10777,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10778,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10779,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10780,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10781,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10782,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10783,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10784,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10785,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10786,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10787,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10788,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10789,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10790,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10791,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10792,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10793,18/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10794,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV CH,Louver Door,Door,Non Typical,2,RL-AL-002,PI/03384,2,0,3.923,0
10795,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV CH,Louver,Fixed Louver,Non Typical,2,CH-LV-AL-002,PI/04913,1,0,7.072,0
10796,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV,Fin,Intermediate Fin (Rework)-Site Return,Non Typical,201,4AM-INF-TYPD-AL-002,PI/02424,5,0,0,0
10797,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV,Fin,Intermediate Fin (Rework)-Site Return,Non Typical,201,5EV1-INF-TYPL-AL-002,PI/02424,7,0,0,0
10798,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV,Fin,Intermediate Fin (Rework)-Site Return,Non Typical,201,4C-INF-TYPL-AL-002,PI/02424,4,0,0,0
10799,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV,Fin,Intermediate Fin (Rework)-Site Return,Non Typical,201,4C-INF-TYPM-AL-002,PI/02424,9,0,0,0
10800,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV,Fin,Intermediate Fin (Rework)-Site Return,Non Typical,201,4C-INF-TYPM-AL-002,PI/02424,0,8,0,22.152
10801,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV,Fin,Intermediate Fin (Rework),Non Typical,107,4C-INF-TYPL-AL-001,PI/02091,0,6,0,34.067
10802,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV,Fin,Intermediate Fin (Rework),Non Typical,107,4CM-INF-TYPL-AL-001,PI/02091,0,8,0,45.423
10803,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV,Fin,Intermediate Fin (Rework)-Site Return,Non Typical,201,4CM-INF-TYPM-AL-002,PI/02424,0,6,0,16.614
10804,18/11/2025,BROWN,NON-SYSTEM,Ramki,S.One,Vertical Fin,Fin,Non Typical,174,S1-VER-FIN-CL-10,PI/04491,0,14,0,57.088
10805,18/11/2025,BROWN,NON-SYSTEM,Ramki,MS-09,Fin,Vertical fin,Non Typical,330,CL-41,PI/04389,0,24,0,50.754
10806,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV,Fin,Garage Fin,Non Typical,55,FIN-TYPE-B2-AL-002,PI/03295,0,5,0,12.336
10807,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV,Fin,Garage Fin,Non Typical,6,FIN-TYPE-A-AL-003,PI/03130,0,6,0,14.803
10808,18/11/2025,BROWN,NON-SYSTEM,Ramki,RSV CH,Louver,Fixed Louver,Non Typical,2,CH-LV-AL-001,PI/04913,0,1,0,5.285
10809,19/11/2025,Green ,Doors,Rakesh,H2V P1.1,"Windows ,Sliding Window, Top Hung Window",Outer,Non Typical,80,5H-AW-AL-011,PI/4665,10,9,20.69,18.62
10810,19/11/2025,Green ,Doors,Rakesh,H2V P1.1,"Windows ,Sliding Window, Top Hung Window",SHUTTER,Non Typical,80,5H-AW-AL-011,PI/4665,10,4,10.34,4.14
10811,19/11/2025,Green ,Doors,Rakesh,Reserve Villa,Fence,Boundry Wall,Non Typical,85,Z1B-BW-AL-003&Z1B-BW-AL-008,PI/04873,12,9,22.46,16.85
10812,19/11/2025,Green ,Doors,Rakesh,CMV,HD,SHUTTER,TYPICAL,45,CL-59,PI/01166,6,0,6.8,0
10813,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,MS9,Curtain Wall,Non-Typical,Non Typical,13,WO-SCW-ACL-108,PI/04769,1,0,34.59,0
10814,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,MS9,Curtain Wall,Non-Typical,Non Typical,13,WO-SCW-ACL-107,PI/04769,1,0,34.59,0
10815,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-801,PI/04876,1,0,2.47,0
10816,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-587,PI/04876,3,0,24.35,0
10817,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-554,PI/04876,6,0,26.87,0
10818,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-556,PI/04876,6,0,24.79,0
10819,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-558,PI/04876,7,0,31.35,0
10820,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-569,PI/04876,3,0,21.07,0
10821,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-553,PI/04876,4,0,16.6,0
10822,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-552,PI/04876,1,0,7,0
10823,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,A06,Curtain Wall,Non-Typical,Typical,160,A06-CW03-FS-AL-007,PI/03506,45,0,200.22,0
10824,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,MS9,Curtain Wall,Non-Typical,Non Typical,6,WO-SCW-ACL-115,PI/04571,3,0,23.39,0
10825,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,A06,Curtain Wall,Non-Typical,Typical,160,A06-CW04-FS-AL-004,PI/03506,0,50,0,212.47
10826,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-494,PI/03507,0,6,0,26.87
10827,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-555,PI/04876,0,21,0,94.05
10828,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SOBHA ONE,Curtain Wall,Non-Typical,Typical,73,S1(P3)-CW-CL-586,PI/04876,0,9,0,73.05
10829,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,A05,Curtain Wall,Non-Typical,Typical,77,A05-CW02B-FS-AL-001,PI/03444,0,1,0,6.67
10830,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,A05,Curtain Wall,Non-Typical,Typical,77,A05-CW03A-FS-AL-003,PI/03444,0,3,0,17.38
10831,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Typical,46,3036-DF-AL-002,PI/04076,0,1,0,2.7
10832,19/11/2025,Navy Blue & (Orange),WW/SCW,Thangavel,SHARJA VILLA,Curtain Wall,Non-Typical,Typical,46,3036-W-AL-001,PI/04076,0,3,0,3.21
10833,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10834,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10835,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10836,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10837,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10838,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10839,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10840,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10841,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10842,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10843,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10844,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10845,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10846,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10847,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10848,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10849,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10850,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10851,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
10852,19/11/2025,Navy Blue & (Orange),UCW,Thangavel,GLOBAL SQUARE,Curtain Wall,Non-Typical,Typical,260,1047-UCW-AL-MN-024,PI/04391,1,0,6.08,0
